id,gender,age,education,combined_covid_conspriacy,china_covid_conspiracy,generic_covid_conspiracy,generic_covid_conspiracy_wo_hoax,combined_covid_conspriacy_wo_hoax,negative_feelings_italy,negative_feelings_china,negative_feelings_roma,social_distance_italy,social_distance_china,social_distance_roma,discrimination_italy,discrimination_china,discrimination_roma,italy_composite,china_composite,roma_comspotie,information_exposure,anxiety,lack_of_control
404,2,66,3,2.33333333333333,2.25,2.375,2.28571428571429,2.27272727272727,8,30,51,1,1.66666666666667,2,1,5,2,-.830724908893254,-.145774142256827,-.702583856789057,4.66666666666667,3,4
405,2,65,3,2.41666666666667,2,2.625,2.85714285714286,2.54545454545455,19,27,27,3.33333333333333,4,4.33333333333333,3,3,3,.450741628133504,.405342683345647,-.143476948939533,6,5.5,5.75
406,1,66,3,1.83333333333333,1,2.25,2.42857142857143,1.90909090909091,39,40,49,1,1.33333333333333,2.33333333333333,5,5,5,-.0367665541746504,-.169675191755988,-.334801246931915,4.33333333333333,2.75,3
407,2,77,3,2.91666666666667,2,3.375,3.14285714285714,2.72727272727273,50,51,54,1.33333333333333,3.33333333333333,3.66666666666667,1,1,1,-.311202620689593,.124957048024343,-.335482848956911,7,1,2.5
408,2,65,3,3,2,3.5,3.28571428571429,2.81818181818182,51,50,51,3,1,5,1,7,1,.365278499397027,.0461086932223453,.0115840255333707,7,4,1
409,2,65,3,1.58333333333333,1.25,1.75,1.71428571428571,1.54545454545455,38,48,65,1,1.33333333333333,3,1,1,1,-.554964575745165,-.548957501392662,-.422745022610953,6.33333333333333,6.75,4.5
410,2,47,3,1.66666666666667,1.75,1.625,1.71428571428571,1.72727272727273,41,42,60,2.66666666666667,2.33333333333333,3,4,4,4,.514314145056344,.103704677700547,-.156113836775886,4,3.25,3.75
411,2,66,3,1.16666666666667,1.5,1,1,1.18181818181818,10,50,47,1,4,2.66666666666667,6,6,1,-.176083373601409,.964188113874863,-.664725359782996,5.33333333333333,2,2
412,1,71,3,1.5,1.25,1.625,1.71428571428571,1.54545454545455,50,50,96,1,1.33333333333333,3,1,1,1,-.44466044248593,-.530459188201303,-.168124398656085,5,2.25,2.5
413,1,66,3,2.16666666666667,2,2.25,2.42857142857143,2.27272727272727,50,59,82,2,4.33333333333333,7,2,3,3,.0797748642215994,.809010207679047,1.06014071697401,6.33333333333333,3.75,5
414,2,64,4,3,3,3,3,3,38,46,90,5,3.66666666666667,2.66666666666667,3,3,2,1.28741365278796,.486246588862728,-.169875072544347,2,2.5,1.75
